Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level
Higa, Lie down, hi-ga, Higa ka muna at magpahinga., Lie down and rest for a while.,1.0,1
Himig, Tune, hi-mig, Maganda ang himig ng awitin., The tune of the song is beautiful.,,3
Hina, Weakness, hi-na, Ramdam niya ang hina ng kanyang katawan., He feels the weakness of his body.,,1
Hinang, Welding, hi-nang, Hinangin ang bakal upang pagdugtungin., The metal was welded together.,,3
Hindi, No, hin-di, Hindi ako makakapunta ngayon., I can't come today.,1.0,3
Hinila, Pulled, hi-ni-la, Hinila niya ang lubid nang malakas., He pulled the rope hard.,,3
Hinog, Ripe, hi-nog, Hinog na ang mangga., The mango is ripe.,,3
Hinto, Stop, hin-to, Hinto ka sa tawiran., Stop at the pedestrian lane.,,3
Hubog, Shape, hu-bog, Maganda ang hubog ng buwan ngayong gabi., The shape of the moon is beautiful tonight.,,3
Hugas, Wash, hu-gas, Hugasan mo muna ang kamay mo bago kumain., Wash your hands before eating.,,3
Huli,Late,hoo-li,Nahuli siya sa klase kanina.,He was late for class earlier.,1.0,1
Hulog,Fall,hoo-log,Nahulog ang kanyang cellphone sa sahig.,His cellphone fell on the floor.,,3
Husay, Skill, hu-say, Ipinakita niya ang kanyang husay sa sayaw., He showed his skill in dancing.,,3
Huwag, Don't, hu-wag, Huwag mong kalimutan ang susi., Don't forget the key.,,3
Huwaran, Model, hu-wa-ran, Siya ay isang huwarang mag-aaral., He is an exemplary student.,,3
Huwebes, Thursday, hwe-bes,,,1.0,3
Ibaba, Lower / Down, i-ba-ba, Ibaba mo ang boses mo., Lower your voice.,1.0,3
Ibabaw, Top, i-ba-baw, Nasa ibabaw ng lamesa ang libro., The book is on top of the table.,,3
Ibenta, Sell, i-ben-ta, Ibenta mo ang lumang sapatos mo., Sell your old shoes.,,3
Ibon, Bird, i-bon, Lumilipad ang ibon sa langit., The bird is flying in the sky.,,1
Iboto, Vote, i-bo-to, Iboto mo ang tamang kandidato., Vote for the right candidate.,,3
Igalang, Respect, i-ga-lang, Dapat igalang natin ang matatanda., We should respect the elderly.,,3
Igop,Sip,ee-gop,Igop mo ang sopas habang mainit pa.,Sip the soup while it's still hot.,,1
Ihanda, Prepare, i-han-da, Ihanda mo ang pagkain bago sila dumating., Prepare the food before they arrive.,,3
Ihi, Urinate, i-hi, Pumunta siya sa banyo para umihi., He went to the bathroom to urinate.,,1
Ihip, Blow (of wind), i-hip, Malakas ang ihip ng hangin., The wind is blowing strongly.,,1
Ihiwalay, Separate, i-hi-wa-lay, Ihiwalay ang puti sa de-kulay na damit., Separate the whites from the colored clothes.,,3
Iikot, Will turn, i-i-kot, Iikot ang mundo kahit anong mangyari., The world will turn no matter what.,,3
Iinit, Will get hot, i-i-nit, Iinit ang tubig kapag pinakuluan., The water will get hot when boiled.,,3
Iisa, Only one, i-i-sa, Iisa lang ang natitirang tinapay., Only one piece of bread is left.,,1
Ikaw, You, i-kaw, Ikaw ba ang nagluto nito?, Did you cook this?,1.0,1
Ikot,Turn,ee-kot,Ikot tayo sa paligid ng parke.,Let's turn around the park.,,1
Ilag, Dodge, i-lag, Kailangan mong ilag kapag may paparating na bola., You need to dodge when a ball is coming.,,1
Ilagay, Put, i-la-gay, Ilagay mo ang aklat sa mesa., Put the book on the table.,,3
Ilan, How many, i-lan, Ilan ang gusto mong bilhin?, How many do you want to buy?,,1
Ilang, Few, i-lang, Ilang beses mo nang sinabi ito?, How many times have you said this?,,3
Ilaw, Light, i-law, Naka-off ang ilaw sa kwarto., The light in the room is off.,1.0,1
Iligpit, Tidy up, i-lig-pit, Iligpit mo ang iyong laruan., Tidy up your toys.,,3
Ilog, River, i-log, Malawak ang ilog sa aming bayan., The river in our town is wide.,,1
Ilog-ilog, Stream, i-log i-log, Malinaw ang tubig sa ilog-ilog., The water in the stream is clear.,,3
Imahe,Image,ee-ma-he,Malinaw ang imahe sa camera.,The image on the camera is clear.,,3
Imbak, Store, im-bak, Nag-imbak kami ng pagkain para sa tag-ulan., We stored food for the rainy season.,,3
Imbitahan, Invite, im-bi-ta-han, Imbitahan mo sila sa iyong kaarawan., Invite them to your birthday.,,3
Imposible, Impossible, im-po-si-ble, Walang imposibleng mangyari kung susubukan., Nothing is impossible if you try.,,3
Inang, Mother, i-nang, Mahal ko ang aking inang., I love my mother.,,3
Ingat, Careful, in-gat, Mag-ingat ka sa daan., Be careful on the road.,,3
Inip,Bored,ee-nip,Naiinip na ako sa pila.,I'm getting bored in the line.,,1
Inom, Drink, i-nom,,,1.0,1
Ipis, Cockroach, i-pis, May ipis sa kusina!, There is a cockroach in the kitchen!,,1
Irog, Beloved, i-rog, Siya ang aking irog., She is my beloved.,,1
Isa, One, i-sa,,,1.0,1
Isda,Fish,ees-da,Bumili ako ng isda sa palengke.,I bought fish at the market.,1.0,1
Istasyon, Station, is-ta-syon,,,1.0,3
Itaas, Up, i-ta-as,,,1.0,3
Itim,Black,ee-tim,Itim ang kanyang buhok.,His hair is black.,,1
Iwas,Avoid,ee-was,Iwasan mong uminom ng malamig na tubig.,Avoid drinking cold water.,,1
Iyo, Yours, i-yo,,,1.0,1
Jaketa, Jacket, ja-ke-ta, Suot niya ang makapal na jaketa., He is wearing a thick jacket.,,3
Jalapeno, Jalapeno, ha-la-pe-nyo, Mahilig siya sa maanghang kaya gusto niya ang jalapeño., He likes spicy food so he loves jalapos.,,3
Jambol, Jumble, jam-bol, Magulo ang jambol ng kanyang mga gamit., His things are in a jumble.,,3
Jamboree, Jamboree, jam-bo-ri, Umatend siya ng jamboree ng mga scouts., He attended the scouts' jamboree.,,3
Jamon,Ham,ha-mon,Paborito niyang ulam ang jamon.,His favorite dish is ham.,,3
Janela,Window,ja-ne-la,Buksan mo ang janela para pumasok ang hangin.,Open the window to let the air in.,,3
Japon, Japan, ha-pon, Pupunta siya sa Japon sa susunod na buwan., He will go to Japan next month.,,3
Japonika, Japanese persimmon, ha-po-ni-ka, May puno ng japonika sa kanilang bakuran., They have a Japanese persimmon tree in their yard.,,3
Japonismo, Japanism, ha-po-nis-mo, Nakikita ang japonismo sa kanyang disenyo., Japanism is evident in his design.,,3
Jardin, Garden, jar-din, Maraming bulaklak sa jardin., There are many flowers in the garden.,,3
Jardinero,Gardener,har-de-ne-ro,Ang jardinero ay nag-aalaga ng mga halaman.,The gardener takes care of the plants.,,3
Jaryo, Newspaper, jar-yo, Nagbabasa siya ng jaryo tuwing umaga., He reads the newspaper every morning.,,3
Jeep, Jeepney, jeep,,,1.0,1
Jelly, Jelly, je-li, Gusto ng bata ang jelly sa kanyang tinapay., The child likes jelly on his bread.,,3
Jep, Jeep, jep, Sumakay kami ng jep papunta sa bayan., We rode a jeep to town.,,1
Jewel, Jewel, ju-wel, Mahal ang jewel na kanyang binili., The jewel he bought is expensive.,,3
Jingle, Jingle, jin-gel, Narinig ko ang jingle ng kampanya., I heard the campaign jingle.,,3
Jirafa, Giraffe, ji-ra-fa, May jirafa sa zoo., There is a giraffe at the zoo.,,3
Joke, Joke, jok, Natawa siya sa kanyang joke., He laughed at his joke.,,1
Jota,Dance,ho-ta,Sumayaw siya ng Jota sa pista.,He danced the Jota during the festival.,,1
Joya,Jewel,ho-ya,Maganda ang joya na suot niya.,The jewel she is wearing is beautiful.,,1
Jugo, Juice, ju-go, Masarap ang jugo ng dalandan., The orange juice is delicious.,,1
Junta, Meeting, jun-ta, May junta ang mga pinuno mamaya., The leaders have a meeting later.,,3
Jurisprudencia, Jurisprudence, ju-ris-pru-den-sya, Nag-aaral siya ng jurisprudencia sa unibersidad., He is studying jurisprudence at the university.,,3
Kabataan, Youth, ka-ba-ta-an, Ang kabataan ay pag-asa ng bayan., The youth is the hope of the nation.,,3
Kabayo, Horse, ka-ba-yo, Sumakay siya sa kabayo sa bukid., He rode a horse in the field.,,3
Kahapon, Yesterday, ka-ha-pon,,,1.0,3
Kahel, Orange (color), ka-hel, Kahel ang kulay ng prutas na ito., The color of this fruit is orange.,,3
Kahon, Box, ka-hon, Ang kahon ay puno ng laruan., The box is full of toys.,,3
Kaibigan, Friend, ka-i-bi-gan, Ang aking kaibigan ay mabait., My friend is kind.,1.0,2
Kailan, When, kai-lan,,,1.0,3
Kailangan, Need, kai-la-ngan, Kailangan mong kumain ng masustansya., You need to eat healthy food.,,3
Kain, Eat, ka-in,,,1.0,1
Kalabasa, Pumpkin, ka-la-ba-sa, Mahilig siya sa kalabasa., He likes pumpkin.,,3
Kalamansi, Calamansi, ka-la-man-si, Gumamit siya ng kalamansi sa pagluluto., He used calamansi in cooking.,,3
Kalapati, Dove, ka-la-pa-ti, May puting kalapati sa simbahan., There is a white dove in the church.,,3
Kaliwa, Left, ka-li-wa,,,1.0,3
Kalsada, Road, kal-sa-da, Maluwag ang kalsada tuwing umaga., The road is clear in the morning.,,3
Kalsonilyo, Underwear, kal-so-nil-yo, Bumili siya ng bagong kalsonilyo., He bought new underwear.,,3
Kalye, Street, kal-ye, Maraming tao sa kalye., There are many people on the street.,,3
Kama,Bed,ka-ma,Malambot ang kama niya.,His bed is soft.,1.0,1
Kami, We (excluding listener), ka-mi,,,1.0,1
Kanan, Right, ka-nan,,,1.0,3
Kanila, Theirs, ka-ni-la,,,1.0,3
Kanin, Rice, ka-nin,,,1.0,3
Kanta,Song,kan-ta,Maganda ang kanta sa radyo.,The song on the radio is beautiful.,,3
Kapatid, Sibling, ka-pa-tid, Masaya akong kasama ang aking kapatid., I am happy when I am with my sibling.,,3
Kape, Coffee, ka-pe, Umiinom siya ng kape tuwing umaga., He drinks coffee every morning.,1.0,1
Karne, Meat, kar-ne,,,1.0,3
Kasama, Companion, ka-sa-ma, Siya ang aking kasama sa trabaho., He is my companion at work.,,3
Kaso, Case, ka-so, Sinusuri ng abogado ang kaso., The lawyer is reviewing the case.,,1
Katawan, Body, ka-ta-wan, Mahalaga ang pag-aalaga ng katawan., Taking care of the body is important.,,3
Kayo, You (plural/formal), ka-yo,,,1.0,1
Kendi, Candy, ken-di, Mahilig siya sa kendi., He likes candy.,,3
Kisame,Ceiling,ki-sa-me,Mataas ang kisame sa bahay nila.,The ceiling in their house is high.,,3
Ko, My, ko, Ito ang paborito kong pagkain., This is my favorite food.,,1
Kotche, Car, kot-che,,,1.0,3
Kotse,Car,kot-se,Bumili siya ng bagong kotse.,He bought a new car.,,3
Kubo, Hut, ku-bo, Nakatira sila sa isang maliit na kubo., They live in a small hut.,,1
Kuha, Get, ku-ha,,,1.0,1
Kulay, Color, ku-lay, Maganda ang kulay ng langit., The color of the sky is beautiful.,,3
Kumusta, How are you?, ku-mus-ta, Kumusta ka na?, How are you?,1.0,3
Kuryente, Electricity, ku-ryen-te, Mahalaga ang kuryente sa bahay., Electricity is important in the house.,,3
Kutsara, Spoon, kut-sa-ra, Gamitin mo ang kutsara sa pagkain., Use the spoon for eating.,,3
Kuwaderno, Notebook, ku-wa-der-no, Nagsusulat siya sa kanyang kuwaderno., He is writing in his notebook.,,3
Kuwento, Story, ku-wen-to, Mahaba ang kuwento niya tungkol sa bakasyon., His story about the vacation is long.,,3
Laban, Fight, la-ban, Huwag kang sumuko sa laban ng buhay., Don't give up in the fight of life.,,3
Labi, Lips, la-bi, Mapula ang labi niya., Her lips are red.,,1
Labimpito, Seventeen, la-bim-pi-to,,,1.0,3
Labindalawa, Twelve, la-bin-da-la-wa,,,1.0,3
Labing-anim, Sixteen, la-bing-a-nim,,,1.0,3
Labing-apat, Fourteen, la-bing-a-pat,,,1.0,3
Labing-isa, Eleven, la-bing-i-sa,,,1.0,3
Labingwalo, Eighteen, la-bing-wa-lo,,,1.0,3
Labinlima, Fifteen, la-bin-li-ma,,,1.0,3
Labinsiyam, Nineteen, la-bin-si-yam,,,1.0,3
Labintatlo, Thirteen, la-bin-tat-lo,,,1.0,3
Labis, Too much, la-bis, Huwag kang labis na mag-alala., Don't worry too much.,,3
Lakad, Trip, la-kad, May lakad kami bukas papuntang dagat., We have a trip tomorrow to the beach.,1.0,3
Lakas, Strength, la-kas, Malakas siya sa pagbubuhat., He is strong in lifting weights.,,3
Lalaki, Man, la-la-ki, Ang lalaki ay matipuno at matapang., The man is strong and brave.,1.0,3
Lamang, Only, la-mang, Isa lamang ang natitirang tiket., Only one ticket is left.,,3
Lamesa,Table,la-me-sa,Malinis ang lamesa.,The table is clean.,1.0,3
Lango, Drunk, la-ngo, Lango siya matapos uminom ng alak., He is drunk after drinking alcohol.,,3
Lapad, Wide, la-pad, Lapad ang kanyang balikat., His shoulders are wide.,,3
Lapit, Near, la-pit, Malapit lang ang tindahan sa amin., The store is near us.,,3
Laro, Game, la-ro, Masaya ang laro namin sa labas., Our game outside is fun.,,1
Lasa, Taste, la-sa, Masarap ang lasa ng ulam., The dish tastes delicious.,,1
Lata,Can,la-ta,May lamang gatas ang lata.,The can contains milk.,,1
Lawa, Lake, la-wa, Malawak ang lawa sa bayan nila., The lake in their town is wide.,,1
Laya, Freedom, la-ya, Mahalaga ang laya ng bawat isa., Freedom is important for everyone.,,1
Layon, Purpose, la-yon, Ano ang layon ng iyong plano?, What is the purpose of your plan?,,3
Libreng,Free,li-breng,Libreng pagkain sa handaan.,There is free food at the feast.,1.0,3
Ligaya, Happiness, li-ga-ya, Ang ligaya ng pamilya ay mahalaga., Family happiness is important.,,3
Ligtas, Safe, lig-tas,,,1.0,3
Lihim, Secret, li-him, May lihim siyang sinabi sa akin., He told me a secret.,,3
Likod, Back, li-kod,,,1.0,3
Lima, Five, li-ma,,,1.0,1
Linaw, Clarity, li-naw, Napakalinaw ng tubig sa ilog., The water in the river is very clear.,,3
Linggo, Sunday/Week, ling-go, Linggo ang araw ng pahinga., Sunday is a day of rest.,1.0,3
Litrato, Picture, li-tra-to, Kinuha niya ang litrato namin., He took our picture.,,3
Lobo, Balloon, lo-bo, May pulang lobo ang bata., The child has a red balloon.,,1
Lola, Grandmother, lo-la,,,1.0,1
Lolo, Grandfather, lo-lo,,,1.0,1
Luha, Tears, lu-ha, Pumatak ang kanyang luha dahil sa saya., Her tears fell because of happiness.,,1
Lukso, Jump, luk-so, Mataas ang kanyang lukso sa paligsahan., His jump in the competition was high.,,3
Luma, Old, lu-ma, Luma na ang kanyang sapatos., His shoes are old.,,1
Lunes, Monday, lu-nes,,,1.0,3
Lupa, Earth, lu-pa, Ang lupa ay bilog., The earth is round.,,1
Lutong, Cooked, lu-tong, Lutong-luto na ang manok., The chicken is well-cooked.,,3
Maaari, May/Can, ma-a-a-ri, Maaari ba kitang tulungan?, May I help you?,,3
Maaga, Early, ma-a-ga,,,1.0,3
Mabagal, Slow, ma-ba-gal, Mabagal ang takbo ng tren., The train is running slow.,1.0,3
Mabait, Kind, ma-ba-it, Mabait siya sa kanyang mga kaibigan., He is kind to his friends.,,3
Mabango, Fragrant, ma-ba-ngo, Mabango ang bulaklak sa hardin., The flowers in the garden are fragrant.,,3
Mabigat,Heavy,ma-bi-gat,Mabigat ang bag ko ngayon.,My bag is heavy today.,,3
Mabilis, Fast, ma-bi-lis, Mabilis siyang tumakbo., He runs fast.,1.0,3
Mabuhay, Long live/Welcome, ma-bu-hay, Mabuhay ang Pilipinas!, Long live the Philippines!,,3
Mabuti, Good/Well, ma-bu-ti, Mabuti naman ako  salamat!, I'm doing well -  thank you!,1.0,3
Madumi, Dirty, ma-du-mi,,,1.0,3
Maganda, Beautiful, ma-gan-da, Maganda ang tanawin sa bundok., The view in the mountain is beautiful.,,3
Magandang, Good (used in greetings), ma-gan-dang, Magandang panimula ang bawat umaga., Every morning is a good start.,,3
Magandang araw, Good day, ma-gan-dang a-raw, Magandang araw sa inyong lahat!, Good day to all of you!,,3
Magandang gabi, Good evening, ma-gan-dang ga-bi, matulog ka nang mahimbing., Good evening -  sleep well.,1.0,2
Magandang hapon, Good afternoon, ma-gan-dang ha-pon, Magandang hapon, Good afternoon,1.0,3
Magandang tanghali, Good noon, ma-gan-dang tang-ha-li, Magandang tanghali! Kumain ka na ba?, Good noon! Have you eaten?,,3
Magandang umaga, Good morning, ma-gan-dang u-ma-ga, Magandang umaga, Good morning,1.0,2
Mag-aral, Study, mag-a-ral, Mag-aral kang mabuti., Study well.,,3
Magbasa, Read, mag-ba-sa, Mahilig siyang magbasa ng libro., He loves reading books.,,3
Maghanda, Prepare, mag-han-da, Maghanda ka para sa iyong pagsusulit., Prepare for your exam.,,3
Maghintay, Wait, mag-hin-tay, Maghintay ka sandali., Wait for a moment.,,2
Mag-ingat, Be careful, mag-in-gat, Mag-ingat ka sa daan., Be careful on the road.,,3
Magkano,How much,mag-ka-no,Magkano ang isang kilo ng bigas?,How much is a kilo of rice?,1.0,3
Maglinis, Clean, mag-li-nis, Maglinis tayo ng bahay ngayong umaga., Let's clean the house this morning.,,3
Magluto, Cook, mag-lu-to, Marunong siyang magluto ng adobo., He knows how to cook adobo.,,3
Magsulat, Write, mag-su-lat, Magsulat ka ng liham para kay Nanay., Write a letter for Mom.,,3
Magtrabaho, Work, mag-tra-ba-ho, Magtrabaho tayo nang maayos., Let's work properly.,,2
Mahaba, Long, ma-ha-ba,,,1.0,3
Mahal, Expensive, ma-hal,,,1.0,3
Mahalaga, Important, ma-ha-la-ga, Mahalaga ang edukasyon sa buhay., Education is important in life.,,3
Mahina, Weak, ma-hi-na, Mahina ang kanyang katawan., His body is weak.,,3
Maikli, Short, ma-ik-li,,,1.0,3
Mainit, Hot, ma-i-nit,,,1.0,3
Malakas, Strong, ma-la-kas, Malakas ang ulan kagabi., The rain was strong last night.,,3
Malaki, Big, ma-la-ki, Malaki ang bahay nila., Their house is big.,1.0,3
Malamig,Cold,ma-la-mig,Malamig ang panahon ngayon.,The weather is cold today.,1.0,3
Malapit, Near, ma-la-pit, Malapit lang ang palengke sa amin., The market is near us.,,3
Malasakit, Concern, ma-la-sa-kit, May malasakit siya sa kanyang pamilya., He has concern for his family.,,3
Malayo, Far, ma-la-yo, Malayo ang bahay nila mula dito., Their house is far from here.,,3
Mali,Wrong,ma-li,Mali ang sagot mo sa tanong.,Your answer to the question is wrong.,,1
Maliit, Small, ma-li-it, Maliit ang sapatos ko., My shoes are small.,1.0,3
Malinis,Clean,ma-li-nis,Malinis ang kwarto niya.,His room is clean.,1.0,3
Mall, Mall, mall,,,1.0,1
Malungkot, Sad, ma-lung-kot,,,1.0,2
Mamaya, Later, ma-ma-ya,,,1.0,3
Manok, Chicken, ma-nok,,,1.0,3
Mantika, Cooking oil, man-ti-ka,,,1.0,3
Maraming, Many/A lot, ma-ra-ming, Maraming tao sa palengke ngayon., There are many people at the market today.,,3
Martes, Tuesday, mar-tes,,,1.0,3
Masakit, Painful, ma-sa-kit,,,1.0,3
Masama, Bad, ma-sa-ma,,,1.0,3
Masarap, Delicious, ma-sa-rap, Masarap ang ulam ngayong gabi., The dish tonight is delicious.,,3
Masaya, Happy, ma-sa-ya, Masaya ang aking kaarawan., My birthday is happy.,1.0,2
Masipag, Hardworking, ma-si-pag, Masipag siyang magtrabaho., He is hardworking at work.,,2
Mata,Eye,ma-ta,Maganda ang kulay ng mata niya.,The color of her eyes is beautiful.,,1
Miyerkules, Wednesday, mi-yer-ku-les,,,1.0,3
Mo, Your, mo, Ano ang gusto mo?, What do you want?,,1
Mura, Cheap, mu-ra,,,1.0,1
Naalala, Remembered, na-a-la-la, Naalala ko ang aming bakasyon., I remembered our vacation.,,3
Nababasa, Getting wet, na-ba-ba-sa, Nababasa ang kanyang damit dahil sa ulan., His clothes are getting wet because of the rain.,,3
Nag-alaga, Took care, nag-a-la-ga, Nag-alaga siya ng kanyang nakababatang kapatid., He took care of his younger sibling.,,3
Nag-aral, Studied, nag-a-ral, Nag-aral siya nang mabuti para sa pagsusulit., He studied well for the exam.,,3
Nagising, Woke up, na-gi-sing, Nagising siya nang maaga kanina., He woke up early this morning.,,3
Nagkamali, Made a mistake, nag-ka-ma-li, Nagkamali siya sa sagot sa pagsusulit., He made a mistake in his exam answer.,,3
Naglakad, Walked, nag-la-kad, Naglakad siya papunta sa palengke., He walked to the market.,,3
Naglakbay, Traveled, nag-lak-bay, Naglakbay siya sa iba't ibang lugar., He traveled to different places.,,3
Naglaro, Played, nag-la-ro, Naglaro ang mga bata sa labas., The children played outside.,,2
Naglinis, Cleaned, nag-li-nis, Naglinis siya ng kanyang kwarto., He cleaned his room.,,3
Nagluto, Cooked, nag-lu-to, Nagluto siya ng masarap na ulam., He cooked a delicious dish.,,3
Nagnakaw, Stole, nag-na-kaw, Huli siya nang mahuling nagnakaw., He was caught stealing.,,3
Nagpahinga, Rested, nag-pa-hi-nga, Nagpahinga siya pagkatapos ng trabaho., He rested after work.,,3
Nagreklamo, Complained, nag-re-kla-mo, Nagreklamo siya tungkol sa serbisyong natanggap niya., He complained about the service he received.,,3
Nagtanong, Asked, nag-ta-nong, Nagtanong siya sa guro tungkol sa aralin., He asked the teacher about the lesson.,,3
Nagtrabaho, Worked, nag-tra-ba-ho, Nagtrabaho siya sa opisina buong araw., He worked in the office all day.,,2
Nagugutom,Hungry,na-gu-goo-tom,Nagugutom na ako.,I am already hungry.,,3
Nahulog, Fell, na-hu-log, Nahulog ang kanyang cellphone sa sahig., His cellphone fell on the floor.,,3
Nais, Desire, na-is, Nais niyang makapagtapos ng pag-aaral., He desires to finish his studies.,,1
Nakabukas, Open, na-ka-bu-kas, Nakabukas ang pinto buong magdamag., The door was open all night.,,3
Nakahanap, Found, na-ka-ha-nap, Nakahanap siya ng bagong trabaho., He found a new job.,,3
Nakalimutan, Forgot, na-ka-li-mu-tan, Nakalimutan niya ang kanyang bag sa bus., He forgot his bag on the bus.,,3
Nakapatay, Turned off, na-ka-pa-tay, Nakapatay na ang ilaw sa kwarto., The light in the room is already turned off.,,3
Nakasakay, Was able to ride, na-ka-sa-kay, Nakasakay siya ng bus papunta sa probinsya., He was able to ride a bus to the province.,,3
Nakatulog, Fell asleep, na-ka-tu-log, Nakatulog siya habang nagbabasa., He fell asleep while reading.,,3
Nakaupo, Seated, na-ka-u-po, Nakaupo siya sa tabi ng bintana., He is seated by the window.,,3
Nakinig, Listened, na-ki-nig, Nakinig siya sa musika habang nag-aaral., He listened to music while studying.,,3
Nakita, Saw, na-ki-ta, Nakita ko ang paborito kong artista sa mall., I saw my favorite celebrity at the mall.,,3
Naligo, Took a bath, na-li-go, Naligo siya bago pumasok sa trabaho., He took a bath before going to work.,,3
Nanay, Mother, na-nay,,,1.0,3
Nangyari,Happened,nang-ya-ri,Ano ang nangyari kahapon?,What happened yesterday?,,3
Narinig,Heard,na-ri-nig,Narinig ko ang kanta mo.,I heard your song.,,3
Nasa,At,na-sa,Nasa bahay ako ngayon.,I am at home now.,,1
Nasaan,Nasaan,Where, na-sa-an ang os-pi-tal, Where is the hospital?,1.0,3
Natuwa, Felt happy, na-tu-wa, Natuwa siya sa kanyang regalo., He felt happy with his gift.,,2
Ngayon, Now, nga-yon,,,1.0,3
Ngayong gabi, Tonight, nga-yong ga-bi,,,1.0,3
Ngiti,Smile,ngi-ti,Ang kanyang ngiti ay napakaganda.,Her smile is very beautiful.,,3
Ngunit,But,ngu-nit,"Gusto kong lumabas, ngunit umuulan.","I want to go out, but it is raining.",,3
Niyebe,Snow,ni-ye-be,Walang niyebe sa Pilipinas.,There is no snow in the Philippines.,,3
Oberol, Overalls, o-be-rol, Suot ng manggagawa ang oberol., The worker is wearing overalls.,,3
Obispo, Bishop, o-bis-po, Dumalo ang obispo sa misa., The bishop attended the mass.,,3
Obligasyon, Obligation, ob-li-ga-syon, Responsibilidad at obligasyon ang pagtatrabaho., Working is both a responsibility and an obligation.,,3
Obra, Work (of art), o-bra, Ang kanyang obra ay hinangaan ng marami., His work of art was admired by many.,,1
Obrero, Worker, ob-re-ro, Masipag ang obrero sa kanyang trabaho., The worker is hardworking in his job.,,2
Okasyon, Occasion, o-ka-syon, Isang espesyal na okasyon ang kanyang kaarawan., His birthday is a special occasion.,,3
Oktagon, Octagon, ok-ta-gon, Ang sign na ito ay may hugis oktagon., This sign is shaped like an octagon.,,3
Oktubre, October, ok-tu-bre, Ipinanganak siya noong Oktubre., He was born in October.,,3
Onse, Eleven, on-se, Mayroong onse estudyante sa klase., There are eleven students in the class.,,1
Oo, Yes, o-o, Oo -  pupunta ako sa party mamaya., Yes - I will go to the party later.,1.0,1
Oobserbahan, Observe, o-ob-ser-ba-han, Oobserbahan namin ang mga bituin mamayang gabi., We will observe the stars tonight.,,3
Operasyon, Operation, o-pe-ra-syon, Kailangan niyang sumailalim sa operasyon., He needs to undergo an operation.,,3
Opinyon, Opinion, o-pi-nyon, Igalang natin ang opinyon ng iba., Let's respect the opinion of others.,,3
Opisina,Office,o-pi-si-na,Pumasok siya sa opisina ng maaga.,He went to the office early.,1.0,3
Opisyal, Official, o-pis-yal, Opisyal na inanunsyo ang balita., The news was officially announced.,,3
Opo, Yes (formal), o-po, Opo - naiintindihan ko po., Yes  I understand.,,1
Oportunidad, Opportunity, o-por-tu-ni-dad, Huwag mong sayangin ang oportunidad na ito., Don't waste this opportunity.,,3
Oras,Time,o-ras,Anong oras na?,What time is it?,1.0,1
Orasan, Clock, o-ra-san, Nakasabit sa dingding ang orasan., The clock is hanging on the wall.,,3
Ordyinaryo, Ordinary, or-dyi-na-ryo, Ordyinaryo lamang ang kanyang suot., His outfit is just ordinary.,,3
Oregano, Oregano, o-re-ga-no, Ginagamit ang oregano bilang gamot., Oregano is used as medicine.,,3
Organisasyon, Organization, or-ga-ni-sa-syon, Kasapi siya ng isang organisasyon., He is a member of an organization.,,3
Orkesta, Orchestra, or-kes-ta, Nag-perform ang orkesta sa entablado., The orchestra performed on stage.,,3
Orkidya, Orchid, or-kid-ya, Maganda ang orkidya sa hardin., The orchid in the garden is beautiful.,,3
Oro, Gold, o-ro, May alahas siyang gawa sa oro., He has jewelry made of gold.,,1
Osmos, Osmosis, os-mos, Pinag-aralan namin ang osmos sa klase., We studied osmosis in class.,,3
Oso, Bear, o-so, May malaking oso sa zoo., There is a big bear in the zoo.,,1
Ospital,Hospital,os-pi-tal,Dinala siya sa ospital.,He was brought to the hospital.,1.0,3
Otomatik, Automatic, o-to-ma-tik, Otomatik ang pagbukas ng pinto., The door opens automatically.,,3
Otomobil,Automobile,o-to-mo-bil,Mahal ang bagong otomobil.,The new automobile is expensive.,,3
Otos, Command, o-tos, Sinunod niya ang otos ng kanyang ama., He followed his father's command.,,1
Paalam,Goodbye,pa-a-lam,Nagpaalam siya bago umalis.,He said goodbye before leaving.,1.0,3
Paano, How, pa-a-no,,,1.0,3
Paaralan, School, pa-a-ra-lan, Pumapasok siya sa paaralan araw-araw., He goes to school every day.,1.0,2
Paborito,Favorite,pa-bo-ri-to,Ang paborito kong pagkain ay adobo.,My favorite food is adobo.,,3
Pag-ibig,Love,pag-i-big,Walang katulad ang tunay na pag-ibig.,True love is incomparable.,1.0,2
Pagkain,Food,pag-ka-in,Masarap ang pagkain sa probinsya.,The food in the province is delicious.,1.0,2
Pagod, Tired, pa-god,,,1.0,3
Pagsubok, Test/Challenge, pag-su-bok, Lahat ng tao ay may pagsubok sa buhay., Everyone faces challenges in life.,,3
Pakiusap, Request /  Please, pa-ki-u-sap, May pakiusap siya sa guro., He has a request for the teacher.,1.0,3
Pakpak, Wing, pak-pak, Malaki ang pakpak ng agila., The eagle's wings are big.,,3
Palad, Palm (hand), pa-lad, Makapal ang kanyang palad dahil sa trabaho., His palm is thick because of work.,,3
Palaka, Frog, pa-la-ka, Tumalon ang palaka sa tubig., The frog jumped into the water.,,3
Palakpak, Applause, pa-lak-pak, Nagpalakpak ang mga tao matapos ang palabas., The people applauded after the performance.,,3
Palaruan, Playground, pa-la-ru-an, Masaya ang mga bata sa palaruan., The kids are happy at the playground.,,2
