Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival
Imposible, Impossible, im-po-si-ble, Walang imposibleng mangyari kung susubukan., Nothing is impossible if you try.,
Inang, Mother, i-nang, Mahal ko ang aking inang., I love my mother.,
Ingat, Careful, in-gat, Mag-ingat ka sa daan., Be careful on the road.,
Inip,Bored,ee-nip,Naiinip na ako sa pila.,I'm getting bored in the line.,
Inom, Drink, i-nom,,,1
Ipis, Cockroach, i-pis, May ipis sa kusina!, There is a cockroach in the kitchen!,
Irog, Beloved, i-rog, Siya ang aking irog., She is my beloved.,
Isa, One, i-sa,,,1
Isda,Fish,ees-da,Bumili ako ng isda sa palengke.,I bought fish at the market.,1
Istasyon, Station, is-ta-syon,,,1
Itaas, Up, i-ta-as,,,1
Itim,Black,ee-tim,Itim ang kanyang buhok.,His hair is black.,
Iwas,Avoid,ee-was,Iwasan mong uminom ng malamig na tubig.,Avoid drinking cold water.,
Iyo, Yours, i-yo,,,1
Jaketa, Jacket, ja-ke-ta, Suot niya ang makapal na jaketa., He is wearing a thick jacket.,
Jalapeno, Jalapeno, ha-la-pe-nyo, Mahilig siya sa maanghang kaya gusto niya ang jalapeño., He likes spicy food so he loves jalapos.,
Jambol, Jumble, jam-bol, Magulo ang jambol ng kanyang mga gamit., His things are in a jumble.,
Jamboree, Jamboree, jam-bo-ri, Umatend siya ng jamboree ng mga scouts., He attended the scouts' jamboree.,
Jamon,Ham,ha-mon,Paborito niyang ulam ang jamon.,His favorite dish is ham.,
Janela,Window,ja-ne-la,Buksan mo ang janela para pumasok ang hangin.,Open the window to let the air in.,
Japon, Japan, ha-pon, Pupunta siya sa Japon sa susunod na buwan., He will go to Japan next month.,
Japonika, Japanese persimmon, ha-po-ni-ka, May puno ng japonika sa kanilang bakuran., They have a Japanese persimmon tree in their yard.,
Japonismo, Japanism, ha-po-nis-mo, Nakikita ang japonismo sa kanyang disenyo., Japanism is evident in his design.,
Jardin, Garden, jar-din, Maraming bulaklak sa jardin., There are many flowers in the garden.,
Jardinero,Gardener,har-de-ne-ro,Ang jardinero ay nag-aalaga ng mga halaman.,The gardener takes care of the plants.,
Jaryo, Newspaper, jar-yo, Nagbabasa siya ng jaryo tuwing umaga., He reads the newspaper every morning.,
Jeep, Jeepney, jeep,,,1
Jelly, Jelly, je-li, Gusto ng bata ang jelly sa kanyang tinapay., The child likes jelly on his bread.,
Jep, Jeep, jep, Sumakay kami ng jep papunta sa bayan., We rode a jeep to town.,
Jewel, Jewel, ju-wel, Mahal ang jewel na kanyang binili., The jewel he bought is expensive.,
Jingle, Jingle, jin-gel, Narinig ko ang jingle ng kampanya., I heard the campaign jingle.,
Jirafa, Giraffe, ji-ra-fa, May jirafa sa zoo., There is a giraffe at the zoo.,
Joke, Joke, jok, Natawa siya sa kanyang joke., He laughed at his joke.,
Jota,Dance,ho-ta,Sumayaw siya ng Jota sa pista.,He danced the Jota during the festival.,
Joya,Jewel,ho-ya,Maganda ang joya na suot niya.,The jewel she is wearing is beautiful.,
Jugo, Juice, ju-go, Masarap ang jugo ng dalandan., The orange juice is delicious.,
Junta, Meeting, jun-ta, May junta ang mga pinuno mamaya., The leaders have a meeting later.,
Jurisprudencia, Jurisprudence, ju-ris-pru-den-sya, Nag-aaral siya ng jurisprudencia sa unibersidad., He is studying jurisprudence at the university.,
Kabataan, Youth, ka-ba-ta-an, Ang kabataan ay pag-asa ng bayan., The youth is the hope of the nation.,
Kabayo, Horse, ka-ba-yo, Sumakay siya sa kabayo sa bukid., He rode a horse in the field.,
Kahapon, Yesterday, ka-ha-pon,,,1
Kahel, Orange (color), ka-hel, Kahel ang kulay ng prutas na ito., The color of this fruit is orange.,
Kahon, Box, ka-hon, Ang kahon ay puno ng laruan., The box is full of toys.,
Kaibigan, Friend, ka-i-bi-gan, Ang aking kaibigan ay mabait., My friend is kind.,1
Kailan, When, kai-lan,,,1
Kailangan, Need, kai-la-ngan, Kailangan mong kumain ng masustansya., You need to eat healthy food.,
Kain, Eat, ka-in,,,1
Kalabasa, Pumpkin, ka-la-ba-sa, Mahilig siya sa kalabasa., He likes pumpkin.,
Kalamansi, Calamansi, ka-la-man-si, Gumamit siya ng kalamansi sa pagluluto., He used calamansi in cooking.,
Kalapati, Dove, ka-la-pa-ti, May puting kalapati sa simbahan., There is a white dove in the church.,
Kaliwa, Left, ka-li-wa,,,1
Kalsada, Road, kal-sa-da, Maluwag ang kalsada tuwing umaga., The road is clear in the morning.,
Kalsonilyo, Underwear, kal-so-nil-yo, Bumili siya ng bagong kalsonilyo., He bought new underwear.,
Kalye, Street, kal-ye, Maraming tao sa kalye., There are many people on the street.,
Kama,Bed,ka-ma,Malambot ang kama niya.,His bed is soft.,1
Kami, We (excluding listener), ka-mi,,,1
Kanan, Right, ka-nan,,,1
Kanila, Theirs, ka-ni-la,,,1
Kanin, Rice, ka-nin,,,1
Kanta,Song,kan-ta,Maganda ang kanta sa radyo.,The song on the radio is beautiful.,
Kapatid, Sibling, ka-pa-tid, Masaya akong kasama ang aking kapatid., I am happy when I am with my sibling.,
Kape, Coffee, ka-pe, Umiinom siya ng kape tuwing umaga., He drinks coffee every morning.,1
Karne, Meat, kar-ne,,,1
Kasama, Companion, ka-sa-ma, Siya ang aking kasama sa trabaho., He is my companion at work.,
Kaso, Case, ka-so, Sinusuri ng abogado ang kaso., The lawyer is reviewing the case.,
Katawan, Body, ka-ta-wan, Mahalaga ang pag-aalaga ng katawan., Taking care of the body is important.,
Kayo, You (plural/formal), ka-yo,,,1
Kendi, Candy, ken-di, Mahilig siya sa kendi., He likes candy.,
Kisame,Ceiling,ki-sa-me,Mataas ang kisame sa bahay nila.,The ceiling in their house is high.,
Ko, My, ko, Ito ang paborito kong pagkain., This is my favorite food.,
Kotche, Car, kot-che,,,1
Kotse,Car,kot-se,Bumili siya ng bagong kotse.,He bought a new car.,
Kubo, Hut, ku-bo, Nakatira sila sa isang maliit na kubo., They live in a small hut.,
Kuha, Get, ku-ha,,,1
Kulay, Color, ku-lay, Maganda ang kulay ng langit., The color of the sky is beautiful.,
Kumusta, How are you?, ku-mus-ta, Kumusta ka na?, How are you?,1
Kuryente, Electricity, ku-ryen-te, Mahalaga ang kuryente sa bahay., Electricity is important in the house.,
Kutsara, Spoon, kut-sa-ra, Gamitin mo ang kutsara sa pagkain., Use the spoon for eating.,
Kuwaderno, Notebook, ku-wa-der-no, Nagsusulat siya sa kanyang kuwaderno., He is writing in his notebook.,
Kuwento, Story, ku-wen-to, Mahaba ang kuwento niya tungkol sa bakasyon., His story about the vacation is long.,
Laban, Fight, la-ban, Huwag kang sumuko sa laban ng buhay., Don't give up in the fight of life.,
Labi, Lips, la-bi, Mapula ang labi niya., Her lips are red.,
Labimpito, Seventeen, la-bim-pi-to,,,1
Labindalawa, Twelve, la-bin-da-la-wa,,,1
Labing-anim, Sixteen, la-bing-a-nim,,,1
Labing-apat, Fourteen, la-bing-a-pat,,,1
Labing-isa, Eleven, la-bing-i-sa,,,1
Labingwalo, Eighteen, la-bing-wa-lo,,,1
Labinlima, Fifteen, la-bin-li-ma,,,1
Labinsiyam, Nineteen, la-bin-si-yam,,,1
Labintatlo, Thirteen, la-bin-tat-lo,,,1
Labis, Too much, la-bis, Huwag kang labis na mag-alala., Don't worry too much.,
Lakad, Trip, la-kad, May lakad kami bukas papuntang dagat., We have a trip tomorrow to the beach.,1
Lakas, Strength, la-kas, Malakas siya sa pagbubuhat., He is strong in lifting weights.,
Lalaki, Man, la-la-ki, Ang lalaki ay matipuno at matapang., The man is strong and brave.,1
Lamang, Only, la-mang, Isa lamang ang natitirang tiket., Only one ticket is left.,
Lamesa,Table,la-me-sa,Malinis ang lamesa.,The table is clean.,1
Lango, Drunk, la-ngo, Lango siya matapos uminom ng alak., He is drunk after drinking alcohol.,
Lapad, Wide, la-pad, Lapad ang kanyang balikat., His shoulders are wide.,
Lapit, Near, la-pit, Malapit lang ang tindahan sa amin., The store is near us.,
Laro, Game, la-ro, Masaya ang laro namin sa labas., Our game outside is fun.,
Lasa, Taste, la-sa, Masarap ang lasa ng ulam., The dish tastes delicious.,
Lata,Can,la-ta,May lamang gatas ang lata.,The can contains milk.,
Lawa, Lake, la-wa, Malawak ang lawa sa bayan nila., The lake in their town is wide.,
Laya, Freedom, la-ya, Mahalaga ang laya ng bawat isa., Freedom is important for everyone.,
Layon, Purpose, la-yon, Ano ang layon ng iyong plano?, What is the purpose of your plan?,
Libreng,Free,li-breng,Libreng pagkain sa handaan.,There is free food at the feast.,1
Ligaya, Happiness, li-ga-ya, Ang ligaya ng pamilya ay mahalaga., Family happiness is important.,
Ligtas, Safe, lig-tas,,,1
Lihim, Secret, li-him, May lihim siyang sinabi sa akin., He told me a secret.,
Likod, Back, li-kod,,,1
Lima, Five, li-ma,,,1
Linaw, Clarity, li-naw, Napakalinaw ng tubig sa ilog., The water in the river is very clear.,
Linggo, Sunday/Week, ling-go, Linggo ang araw ng pahinga., Sunday is a day of rest.,1
Litrato, Picture, li-tra-to, Kinuha niya ang litrato namin., He took our picture.,
Lobo, Balloon, lo-bo, May pulang lobo ang bata., The child has a red balloon.,
Lola, Grandmother, lo-la,,,1
Lolo, Grandfather, lo-lo,,,1
Luha, Tears, lu-ha, Pumatak ang kanyang luha dahil sa saya., Her tears fell because of happiness.,
Lukso, Jump, luk-so, Mataas ang kanyang lukso sa paligsahan., His jump in the competition was high.,
Luma, Old, lu-ma, Luma na ang kanyang sapatos., His shoes are old.,
Lunes, Monday, lu-nes,,,1
Lupa, Earth, lu-pa, Ang lupa ay bilog., The earth is round.,
Lutong, Cooked, lu-tong, Lutong-luto na ang manok., The chicken is well-cooked.,
Maaari, May/Can, ma-a-a-ri, Maaari ba kitang tulungan?, May I help you?,
Maaga, Early, ma-a-ga,,,1
Mabagal, Slow, ma-ba-gal, Mabagal ang takbo ng tren., The train is running slow.,1
Mabait, Kind, ma-ba-it, Mabait siya sa kanyang mga kaibigan., He is kind to his friends.,
Mabango, Fragrant, ma-ba-ngo, Mabango ang bulaklak sa hardin., The flowers in the garden are fragrant.,
Mabigat,Heavy,ma-bi-gat,Mabigat ang bag ko ngayon.,My bag is heavy today.,
Mabilis, Fast, ma-bi-lis, Mabilis siyang tumakbo., He runs fast.,1
Mabuhay, Long live/Welcome, ma-bu-hay, Mabuhay ang Pilipinas!, Long live the Philippines!,
Mabuti, Good/Well, ma-bu-ti, Mabuti naman ako  salamat!, I'm doing well -  thank you!,1
Madumi, Dirty, ma-du-mi,,,1
Maganda, Beautiful, ma-gan-da, Maganda ang tanawin sa bundok., The view in the mountain is beautiful.,
Magandang, Good (used in greetings), ma-gan-dang, Magandang panimula ang bawat umaga., Every morning is a good start.,
Magandang araw, Good day, ma-gan-dang a-raw, Magandang araw sa inyong lahat!, Good day to all of you!,
Magandang gabi, Good evening, ma-gan-dang ga-bi, matulog ka nang mahimbing., Good evening -  sleep well.,1
Magandang hapon, Good afternoon, ma-gan-dang ha-pon, Magandang hapon, Good afternoon,1
Magandang tanghali, Good noon, ma-gan-dang tang-ha-li, Magandang tanghali! Kumain ka na ba?, Good noon! Have you eaten?,
Magandang umaga, Good morning, ma-gan-dang u-ma-ga, Magandang umaga, Good morning,1
Mag-aral, Study, mag-a-ral, Mag-aral kang mabuti., Study well.,
Magbasa, Read, mag-ba-sa, Mahilig siyang magbasa ng libro., He loves reading books.,
Maghanda, Prepare, mag-han-da, Maghanda ka para sa iyong pagsusulit., Prepare for your exam.,
Maghintay, Wait, mag-hin-tay, Maghintay ka sandali., Wait for a moment.,
Mag-ingat, Be careful, mag-in-gat, Mag-ingat ka sa daan., Be careful on the road.,
Magkano,How much,mag-ka-no,Magkano ang isang kilo ng bigas?,How much is a kilo of rice?,1
Maglinis, Clean, mag-li-nis, Maglinis tayo ng bahay ngayong umaga., Let's clean the house this morning.,
Magluto, Cook, mag-lu-to, Marunong siyang magluto ng adobo., He knows how to cook adobo.,
Magsulat, Write, mag-su-lat, Magsulat ka ng liham para kay Nanay., Write a letter for Mom.,
Magtrabaho, Work, mag-tra-ba-ho, Magtrabaho tayo nang maayos., Let's work properly.,
Mahaba, Long, ma-ha-ba,,,1
Mahal, Expensive, ma-hal,,,1
Mahalaga, Important, ma-ha-la-ga, Mahalaga ang edukasyon sa buhay., Education is important in life.,
Mahina, Weak, ma-hi-na, Mahina ang kanyang katawan., His body is weak.,
Maikli, Short, ma-ik-li,,,1
Mainit, Hot, ma-i-nit,,,1
Malakas, Strong, ma-la-kas, Malakas ang ulan kagabi., The rain was strong last night.,
Malaki, Big, ma-la-ki, Malaki ang bahay nila., Their house is big.,1
Malamig,Cold,ma-la-mig,Malamig ang panahon ngayon.,The weather is cold today.,1
Malapit, Near, ma-la-pit, Malapit lang ang palengke sa amin., The market is near us.,
Malasakit, Concern, ma-la-sa-kit, May malasakit siya sa kanyang pamilya., He has concern for his family.,
Malayo, Far, ma-la-yo, Malayo ang bahay nila mula dito., Their house is far from here.,
Mali,Wrong,ma-li,Mali ang sagot mo sa tanong.,Your answer to the question is wrong.,
Maliit, Small, ma-li-it, Maliit ang sapatos ko., My shoes are small.,1
Malinis,Clean,ma-li-nis,Malinis ang kwarto niya.,His room is clean.,1
Mall, Mall, mall,,,1
Malungkot, Sad, ma-lung-kot,,,1
Mamaya, Later, ma-ma-ya,,,1
Manok, Chicken, ma-nok,,,1
Mantika, Cooking oil, man-ti-ka,,,1
Maraming, Many/A lot, ma-ra-ming, Maraming tao sa palengke ngayon., There are many people at the market today.,
Martes, Tuesday, mar-tes,,,1
Masakit, Painful, ma-sa-kit,,,1
Masama, Bad, ma-sa-ma,,,1
Masarap, Delicious, ma-sa-rap, Masarap ang ulam ngayong gabi., The dish tonight is delicious.,
Masaya, Happy, ma-sa-ya, Masaya ang aking kaarawan., My birthday is happy.,1
Masipag, Hardworking, ma-si-pag, Masipag siyang magtrabaho., He is hardworking at work.,
Mata,Eye,ma-ta,Maganda ang kulay ng mata niya.,The color of her eyes is beautiful.,
Miyerkules, Wednesday, mi-yer-ku-les,,,1
Mo, Your, mo, Ano ang gusto mo?, What do you want?,
Mura, Cheap, mu-ra,,,1
Naalala, Remembered, na-a-la-la, Naalala ko ang aming bakasyon., I remembered our vacation.,
Nababasa, Getting wet, na-ba-ba-sa, Nababasa ang kanyang damit dahil sa ulan., His clothes are getting wet because of the rain.,
Nag-alaga, Took care, nag-a-la-ga, Nag-alaga siya ng kanyang nakababatang kapatid., He took care of his younger sibling.,
Nag-aral, Studied, nag-a-ral, Nag-aral siya nang mabuti para sa pagsusulit., He studied well for the exam.,
Nagising, Woke up, na-gi-sing, Nagising siya nang maaga kanina., He woke up early this morning.,
Nagkamali, Made a mistake, nag-ka-ma-li, Nagkamali siya sa sagot sa pagsusulit., He made a mistake in his exam answer.,
Naglakad, Walked, nag-la-kad, Naglakad siya papunta sa palengke., He walked to the market.,
Naglakbay, Traveled, nag-lak-bay, Naglakbay siya sa iba't ibang lugar., He traveled to different places.,
Naglaro, Played, nag-la-ro, Naglaro ang mga bata sa labas., The children played outside.,
Naglinis, Cleaned, nag-li-nis, Naglinis siya ng kanyang kwarto., He cleaned his room.,
Nagluto, Cooked, nag-lu-to, Nagluto siya ng masarap na ulam., He cooked a delicious dish.,
Nagnakaw, Stole, nag-na-kaw, Huli siya nang mahuling nagnakaw., He was caught stealing.,
Nagpahinga, Rested, nag-pa-hi-nga, Nagpahinga siya pagkatapos ng trabaho., He rested after work.,
Nagreklamo, Complained, nag-re-kla-mo, Nagreklamo siya tungkol sa serbisyong natanggap niya., He complained about the service he received.,
Nagtanong, Asked, nag-ta-nong, Nagtanong siya sa guro tungkol sa aralin., He asked the teacher about the lesson.,
Nagtrabaho, Worked, nag-tra-ba-ho, Nagtrabaho siya sa opisina buong araw., He worked in the office all day.,
Nagugutom,Hungry,na-gu-goo-tom,Nagugutom na ako.,I am already hungry.,
Nahulog, Fell, na-hu-log, Nahulog ang kanyang cellphone sa sahig., His cellphone fell on the floor.,
Nais, Desire, na-is, Nais niyang makapagtapos ng pag-aaral., He desires to finish his studies.,
Nakabukas, Open, na-ka-bu-kas, Nakabukas ang pinto buong magdamag., The door was open all night.,
Nakahanap, Found, na-ka-ha-nap, Nakahanap siya ng bagong trabaho., He found a new job.,
Nakalimutan, Forgot, na-ka-li-mu-tan, Nakalimutan niya ang kanyang bag sa bus., He forgot his bag on the bus.,
Nakapatay, Turned off, na-ka-pa-tay, Nakapatay na ang ilaw sa kwarto., The light in the room is already turned off.,
Nakasakay, Was able to ride, na-ka-sa-kay, Nakasakay siya ng bus papunta sa probinsya., He was able to ride a bus to the province.,
Nakatulog, Fell asleep, na-ka-tu-log, Nakatulog siya habang nagbabasa., He fell asleep while reading.,
Nakaupo, Seated, na-ka-u-po, Nakaupo siya sa tabi ng bintana., He is seated by the window.,
Nakinig, Listened, na-ki-nig, Nakinig siya sa musika habang nag-aaral., He listened to music while studying.,
Nakita, Saw, na-ki-ta, Nakita ko ang paborito kong artista sa mall., I saw my favorite celebrity at the mall.,
Naligo, Took a bath, na-li-go, Naligo siya bago pumasok sa trabaho., He took a bath before going to work.,
Nanay, Mother, na-nay,,,1
Nangyari,Happened,nang-ya-ri,Ano ang nangyari kahapon?,What happened yesterday?,
Narinig,Heard,na-ri-nig,Narinig ko ang kanta mo.,I heard your song.,
Nasa,At,na-sa,Nasa bahay ako ngayon.,I am at home now.,
Nasaan,Nasaan,Where, na-sa-an ang os-pi-tal, Where is the hospital?,1
Natuwa, Felt happy, na-tu-wa, Natuwa siya sa kanyang regalo., He felt happy with his gift.,
Ngayon, Now, nga-yon,,,1
Ngayong gabi, Tonight, nga-yong ga-bi,,,1
Ngiti,Smile,ngi-ti,Ang kanyang ngiti ay napakaganda.,Her smile is very beautiful.,
Ngunit,But,ngu-nit,"Gusto kong lumabas, ngunit umuulan.","I want to go out, but it is raining.",
Niyebe,Snow,ni-ye-be,Walang niyebe sa Pilipinas.,There is no snow in the Philippines.,
Oberol, Overalls, o-be-rol, Suot ng manggagawa ang oberol., The worker is wearing overalls.,
Obispo, Bishop, o-bis-po, Dumalo ang obispo sa misa., The bishop attended the mass.,
Obligasyon, Obligation, ob-li-ga-syon, Responsibilidad at obligasyon ang pagtatrabaho., Working is both a responsibility and an obligation.,
Obra, Work (of art), o-bra, Ang kanyang obra ay hinangaan ng marami., His work of art was admired by many.,
Obrero, Worker, ob-re-ro, Masipag ang obrero sa kanyang trabaho., The worker is hardworking in his job.,
Okasyon, Occasion, o-ka-syon, Isang espesyal na okasyon ang kanyang kaarawan., His birthday is a special occasion.,
Oktagon, Octagon, ok-ta-gon, Ang sign na ito ay may hugis oktagon., This sign is shaped like an octagon.,
Oktubre, October, ok-tu-bre, Ipinanganak siya noong Oktubre., He was born in October.,
Onse, Eleven, on-se, Mayroong onse estudyante sa klase., There are eleven students in the class.,
Oo, Yes, o-o, Oo -  pupunta ako sa party mamaya., Yes - I will go to the party later.,1
Oobserbahan, Observe, o-ob-ser-ba-han, Oobserbahan namin ang mga bituin mamayang gabi., We will observe the stars tonight.,
Operasyon, Operation, o-pe-ra-syon, Kailangan niyang sumailalim sa operasyon., He needs to undergo an operation.,
Opinyon, Opinion, o-pi-nyon, Igalang natin ang opinyon ng iba., Let's respect the opinion of others.,
Opisina,Office,o-pi-si-na,Pumasok siya sa opisina ng maaga.,He went to the office early.,1
Opisyal, Official, o-pis-yal, Opisyal na inanunsyo ang balita., The news was officially announced.,
Opo, Yes (formal), o-po, Opo - naiintindihan ko po., Yes  I understand.,
Oportunidad, Opportunity, o-por-tu-ni-dad, Huwag mong sayangin ang oportunidad na ito., Don't waste this opportunity.,
Oras,Time,o-ras,Anong oras na?,What time is it?,1
Orasan, Clock, o-ra-san, Nakasabit sa dingding ang orasan., The clock is hanging on the wall.,
Ordyinaryo, Ordinary, or-dyi-na-ryo, Ordyinaryo lamang ang kanyang suot., His outfit is just ordinary.,
Oregano, Oregano, o-re-ga-no, Ginagamit ang oregano bilang gamot., Oregano is used as medicine.,
Organisasyon, Organization, or-ga-ni-sa-syon, Kasapi siya ng isang organisasyon., He is a member of an organization.,
Orkesta, Orchestra, or-kes-ta, Nag-perform ang orkesta sa entablado., The orchestra performed on stage.,
Orkidya, Orchid, or-kid-ya, Maganda ang orkidya sa hardin., The orchid in the garden is beautiful.,
Oro, Gold, o-ro, May alahas siyang gawa sa oro., He has jewelry made of gold.,
Osmos, Osmosis, os-mos, Pinag-aralan namin ang osmos sa klase., We studied osmosis in class.,
Oso, Bear, o-so, May malaking oso sa zoo., There is a big bear in the zoo.,
Ospital,Hospital,os-pi-tal,Dinala siya sa ospital.,He was brought to the hospital.,1
Otomatik, Automatic, o-to-ma-tik, Otomatik ang pagbukas ng pinto., The door opens automatically.,
Otomobil,Automobile,o-to-mo-bil,Mahal ang bagong otomobil.,The new automobile is expensive.,
Otos, Command, o-tos, Sinunod niya ang otos ng kanyang ama., He followed his father's command.,
Paalam,Goodbye,pa-a-lam,Nagpaalam siya bago umalis.,He said goodbye before leaving.,1
Paano, How, pa-a-no,,,1
Paaralan, School, pa-a-ra-lan, Pumapasok siya sa paaralan araw-araw., He goes to school every day.,1
Paborito,Favorite,pa-bo-ri-to,Ang paborito kong pagkain ay adobo.,My favorite food is adobo.,
Pag-ibig,Love,pag-i-big,Walang katulad ang tunay na pag-ibig.,True love is incomparable.,1
Pagkain,Food,pag-ka-in,Masarap ang pagkain sa probinsya.,The food in the province is delicious.,1
Pagod, Tired, pa-god,,,1
Pagsubok, Test/Challenge, pag-su-bok, Lahat ng tao ay may pagsubok sa buhay., Everyone faces challenges in life.,
Pakiusap, Request /  Please, pa-ki-u-sap, May pakiusap siya sa guro., He has a request for the teacher.,1
Pakpak, Wing, pak-pak, Malaki ang pakpak ng agila., The eagle's wings are big.,
Palad, Palm (hand), pa-lad, Makapal ang kanyang palad dahil sa trabaho., His palm is thick because of work.,
Palaka, Frog, pa-la-ka, Tumalon ang palaka sa tubig., The frog jumped into the water.,
Palakpak, Applause, pa-lak-pak, Nagpalakpak ang mga tao matapos ang palabas., The people applauded after the performance.,
Palaruan, Playground, pa-la-ru-an, Masaya ang mga bata sa palaruan., The kids are happy at the playground.,
Palasyo,Palace,pa-la-syo,Malaki ang palasyo ng hari.,The king's palace is huge.,
Palengke, Market, pa-leng-ke, Bumili siya ng prutas sa palengke., He bought fruits at the market.,1
Palit, Exchange, pa-lit,,,1
Pamahalaan, Government, pa-ma-ha-la-an, Mahalaga ang pamahalaan sa kaayusan ng bansa., The government is important for the country's order.,
Pamasahe, Fare, pa-ma-sa-he,,,1
Pamilya,Family,pa-mi-lya,Mahalaga ang pamilya sa buhay.,Family is important in life.,1
Paminta, Pepper, pa-min-ta,,,1
Panaginip, Dream (while sleeping), pa-na-gi-nip, Maganda ang panaginip ko kagabi., I had a good dream last night.,
Panahon, Weather/Time, pa-na-hon, Maganda ang panahon ngayon., The weather is nice today.,
Pangalan, Name, pa-nga-lan, Ano ang pangalan mo?, What is your name?,
Pangalawang, Second, pa-nga-la-wang, Ito ang kanyang pangalawang pagkakataon., This is his second chance.,
Panganib, Danger, pa-nga-nib,,,1
Pangarap, Dream, pa-nga-rap, Ang pangarap niya ay maging doktor., His dream is to become a doctor.,
Panginoon, God/Lord, pa-ngi-no-on, Nagdasal siya sa Panginoon., He prayed to the Lord.,
Pangkat, Group, pang-kat, May pangkat sila sa proyekto., They have a group for the project.,
Papel, Paper, pa-pel, Nagsusulat siya sa papel., He is writing on the paper.,
Pasensya na, Sorry, pa-sen-sya na,,,1
Pasko, Christmas, pas-ko, Malapit na ang Pasko!, Christmas is near!,
Patawad, Forgiveness, pa-ta-wad, Humingi siya ng patawad sa kanyang kaibigan., He asked for forgiveness from his friend.,
Patay, Dead, pa-tay, Patay na ang ilaw sa kwarto., The light in the room is off.,
Patuloy, Continue, pa-tu-loy, Patuloy ang kanyang pag-aaral., He continues his studies.,
Payapa,Peaceful,pa-ya-pa,Payapa ang umaga sa probinsya.,The morning in the province is peaceful.,
Pera, Money, pe-ra, Kailangan niya ng pera para sa pamasahe., He needs money for transportation fare.,1
Pinto, Door, pin-to, Pakisara ang pinto bago ka umalis., Please close the door before you leave.,1
Pito, Seven, pi-to,,,1
Polis, Police, po-lis,,,1
Presyo, Price, pres-yo,,,1
Prutas, Fruits, pru-tas,,,1
Pulis 1, Police, pu-lis,,,1
Pulis 2, Police station, pu-lis,,,1
Puno, Tree, pu-no, Malilim sa ilalim ng puno., It is shady under the tree.,
Punta, Go, pun-ta,,,1
Puso, Heart (organ), pu-so, Malakas ang tibok ng kanyang puso., His heart is beating fast.,
Pusong, Heart, pu-song, Mabuti ang kanyang pusong., His heart is kind.,
Pwede ba, Can I?, pwe-de ba,,,1
Quarantine, Quarantine, kwa-ran-tin, Kailangan ng quarantine pagkatapos ng biyahe., Quarantine is required after travel.,
Quezon, Quezon (place name), ke-zon, Nakatira siya sa Quezon City., He lives in Quezon City.,
Quibol,Fold,ki-bol,Huwag mong quibolin ang papel.,Do not fold the paper.,
Quilates, Carat (gold), ki-la-tes, Ang singsing niya ay may 24 quilates., His ring is 24 carats.,
Quimera,Fantasy,ki-me-ra,Ang kanyang quimera ay maging isang bituin.,His fantasy is to become a star.,
Quinta, Fifth, kin-ta, Siya ang pang-quinta sa pila., He is fifth in line.,
Quinto,Fifth,kin-to,Siya ang pang-Quinto sa pila.,He is the fifth in line.,
Quirida, Lover (mistress), ki-ri-da, May sikretong quirida ang lalaki., The man has a secret lover.,
Quisote, Sword, ki-so-te, May hawak siyang quisote sa laban., He is holding a sword in the battle.,
Quorum, Quorum, kwo-rum, Hindi umabot ang quorum sa pulong., The meeting did not reach a quorum.,
Radikal, Radical, ra-di-kal, Radikal ang kanyang pananaw sa pulitika., His views on politics are radical.,
Radyo, Radio, rad-yo, Nakikinig siya sa radyo tuwing umaga., He listens to the radio every morning.,
Raketa, Racket, ra-ke-ta, Gamit niya ang raketa sa badminton., He is using a racket for badminton.,
Rambutan, Rambutan (fruit), ram-bu-tan, Bumili siya ng rambutan sa palengke., He bought rambutan at the market.,
Ranggo, Rank, rang-go, Tumaas ang kanyang ranggo sa trabaho., His rank at work increased.,
Rason, Reason, ra-son, Ano ang rason ng iyong pag-alis?, What is the reason for your departure?,
Rasyon, Ration, ra-syon, May rasyon ng pagkain sa evacuation center., There is a food ration in the evacuation center.,
Regalo, Gift, re-ga-lo, Binuksan niya ang regalo sa kanyang kaarawan., He opened the gift on his birthday.,
Rehas, Bars (metal), re-has, Mataas ang rehas ng kulungan., The prison bars are high.,
Reklamo, Complaint, rek-la-mo, Nag-file siya ng reklamo laban sa kumpanya., He filed a complaint against the company.,
Relo, Watch/Clock, re-lo, Suot niya ang kanyang bagong relo., He is wearing his new watch.,
Reloj,Clock,re-loj,Malaki ang reloj sa opisina.,The clock in the office is big.,
Renta, Rent, ren-ta, Nagbayad siya ng renta sa bahay., He paid the house rent.,
Repasuhin,Review,re-pa-su-hin,Kailangan mong repasuhin ang iyong sagot.,You need to review your answer.,
Reporma, Reform, re-por-ma, May bagong reporma sa edukasyon., There is a new reform in education.,
Reseta, Prescription, re-se-ta, Binigyan siya ng doktor ng reseta., The doctor gave him a prescription.,
Resibo, Receipt, re-si-bo, Itabi mo ang resibo para sa refund., Keep the receipt for a refund.,
Respeto, Respect, res-pe-to, Dapat nating bigyan ng respeto ang matatanda., We should give respect to the elderly.,
Restawran, Restaurant, res-taw-ran,,,1
Ribon,Ribbon,ri-bon,May pulang ribon ang regalo niya.,His gift has a red ribbon.,
Ribyu, Review, rib-yu, Nag-ribyu siya para sa pagsusulit., He reviewed for the exam.,
Rikit, Beauty, ri-kit, Taglay niya ang likas na rikit., She possesses natural beauty.,
